Round,Variable,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10
R01,Product_Demand,1283,1283,1283,1283,1283,1283,1283,1283,1283,1283
R01,Material_Price,400,400,400,400,400,400,400,400,400,400
R01,General_and_Administrative_Expenses,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
R01,Selling_Price,749,701,780,750,850,750,720,680,750,710
R01,Production_Order,100,100,100,100,100,100,100,140,100,110
R01,Materials_Procurement,150,120,100,150,120,200,130,140,100,100
R01,Cumulative_Selling_Price,749,701,780,750,850,750,720,680,750,710
R01,Unit_Manufacturing_Cost,100,100,100,100,100,100,100,100,100,100
R01,Materials_Ordered,150,120,100,150,120,200,130,140,100,100
R01,Materials_Delivered,100,100,100,100,100,100,100,100,100,100
R01,Cumulative_Materials_Delivered,100,100,100,100,100,100,100,100,100,100
R01,Procurement_Cost,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000
R01,Max_Production_Quantity,100,100,100,100,100,100,100,100,100,100
R01,Number_of_Production_Order,100,100,100,100,100,100,100,140,100,110
R01,Number_of_Products_in_Process,100,100,100,100,100,100,100,100,100,100
R01,Material_Inventory,0,0,0,0,0,0,0,0,0,0
R01,Number_of_Products_Produced,100,100,100,100,100,100,100,100,100,100
R01,Cumulative_Number_of_Products_Produced,100,100,100,100,100,100,100,100,100,100
R01,Production_Cost,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
R01,Number_of_Products_Ready_for_Sale,100,100,100,100,100,100,100,100,100,100
R01,Customer_Visited,123,150,109,123,84,123,139,165,123,145
R01,Cumulative_Customer_Visited,123,150,109,123,84,123,139,165,123,145
R01,Number_of_Sales,100,100,100,100,84,100,100,100,100,100
R01,Cumulative_Number_of_Sales,100,100,100,100,84,100,100,100,100,100
R01,Product_Shortage,23,50,9,23,0,23,39,65,23,45
R01,Cumulative_Product_Shortage,-23,-50,-9,-23,0,-23,-39,-65,-23,-45
R01,Shortage_Cost,5727,10050,2520,5750,0,5750,8580,11700,5750,9450
R01,Cumulative_Shortage_Cost,-5727,-10050,-2520,-5750,0,-5750,-8580,-11700,-5750,-9450
R01,Product_Inventory,0,0,0,0,0,0,0,0,0,0
R01,Product_Disposed,0,0,0,0,16,0,0,0,0,0
R01,Cumulative_Product_Disposed,0,0,0,0,-16,0,0,0,0,0
R01,Cumulative_Disposal_Loss,0,0,0,0,-8000,0,0,0,0,0
R01,Sales,74900,70100,78000,75000,71400,75000,72000,68000,75000,71000
R01,Cumulative_Sales,74900,70100,78000,75000,71400,75000,72000,68000,75000,71000
R01,Debt,0,0,0,0,0,0,0,0,0,0
R01,Interest_Expense,0,0,0,0,0,0,0,0,0,0
R01,Cash_Flow,4900,100,8000,5000,1400,5000,2000,-2000,5000,1000
R01,Cumulative_Cash_Flow,4900,100,8000,5000,1400,5000,2000,-2000,5000,1000
R01,Cash,204900,200100,208000,205000,201400,205000,202000,198000,205000,201000
R01,Material_Inventory_Assets,0,0,0,0,0,0,0,0,0,0
R01,Product_in_Process_Assets,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000
R01,Inventory_Assets,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000
R01,Fixed_Assets,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000
R01,Assets,504900,500100,508000,505000,501400,505000,502000,498000,505000,501000
R01,Cost_of_Product_Manufactured,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000
R01,Gross_Profit,24900,20100,28000,25000,21400,25000,22000,18000,25000,21000
R01,Operating_Profit,4900,100,8000,5000,1400,5000,2000,-2000,5000,1000
R01,Ordinary_Profit,4900,100,8000,5000,1400,5000,2000,-2000,5000,1000
R01,Current_Liabilities,0,0,0,0,0,0,0,0,0,0
R01,Retained_Earnings,4900,100,8000,5000,1400,5000,2000,-2000,5000,1000
R01,Capital_Stock,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000
R01,Liabilities_and_Owners_Equity,504900,500100,508000,505000,501400,505000,502000,498000,505000,501000
R02,Product_Demand,1297,1297,1297,1297,1297,1297,1297,1297,1297,1297
R02,Material_Price,400,400,400,400,400,400,400,400,400,400
R02,General_and_Administrative_Expenses,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
R02,Selling_Price,759,710,770,735,800,725,750,700,770,730
R02,Production_Order,120,120,100,125,105,150,130,150,100,100
R02,Materials_Procurement,130,150,100,150,100,150,120,120,110,100
R02,Cumulative_Selling_Price,1508,1411,1550,1485,1650,1475,1470,1380,1520,1440
R02,Unit_Manufacturing_Cost,100,100,100,100,100,100,100,100,100,100
R02,Materials_Ordered,130,150,100,150,100,150,120,120,110,100
R02,Materials_Delivered,150,120,100,150,120,200,130,140,100,100
R02,Cumulative_Materials_Delivered,250,220,200,250,220,300,230,240,200,200
